Vessel Code,Vessel Name,Speed,LSFO MT/D,HSFO MT/D,MGO MT/D,Port Stay LSFO,PS MGO,,,,,,,,,,,,,,,,,,
EVHA,EVERLASTING HARVEST,11,10,,,4.5,,,,,,,,,,,,,,,,,,,
,,11.5,10.5,,,4.5,,,,,,,,,,,,,,,,,,,
,,12,11,,,4.5,,,,,,,,,,,,,,,,,,,
,,12.5,11.7,,,4.5,,,,,,,,,,,,,,,,,,,
,,13,13.5,,,4.5,,,,,,,,,,,,,,,,,,,
,,13.5,14.5,,,4.5,,,,,,,,,,,,,,,,,,,
,,14,16,,,4.5,,,,,,,,,,,,,,,,,,,
,,14.5,17.5,,,4.5,,,,,,,,,,,,,,,,,,,
,,15,19,,,4.5,,,,,,,,,,,,,,,,,,,
,,15.5,22,,,4.5,,,,,,,,,,,,,,,,,,,
,,16,24,,,4.5,,,,,,,,,,,,,,,,,,,
H728,HONG DA XIN 728,11,21,,,3.2,2,,,,,,,,,,,,,,,,,,
,,11.5,23.5,,,3.2,2,,,,,,,,,,,,,,,,,,
,,12,25.5,,,3.2,2,,,,,,,,,,,,,,,,,,
,,12.5,27.5,,,3.2,2,,,,,,,,,,,,,,,,,,
,,13,30.5,,,3.2,2,,,,,,,,,,,,,,,,,,
HAMD,HAIAN MIND,11,23.400000000000002,,,5.3,,,,,,,,,,,,,,,,,,,
,,12,24.8,,,5.3,,,,,,,,,,,,,,,,,,,
,,13,25.8,,,5.3,,,,,,,,,,,,,,,,,,,
,,15,33.199999999999996,,,5.3,,,,,,,,,,,,,,,,,,,
,,16,40.3,,,5.3,,,,,,,,,,,,,,,,,,,
,,17,42.3,,,5.3,,,,,,,,,,,,,,,,,,,
LAHM,LOA HARMONY,9,9.5,,2,,2,,,,,,,,,,,,,,,,,,
,,10,11,,2,,2,,,,,,,,,,,,,,,,,,
,,11.5,12.5,,2,,2,,,,,,,,,,,,,,,,,,
,,12,14.5,,2,,2,,,,,,,,,,,,,,,,,,
